11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
one every curse on hit ring, first letter of 3 notable cluster spells word in pob order, 1 each relic base type, 20 maps main skill tagged herald, 100 abyss jewels, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, Black Morrigan, 20 essence eradicator, lightning coil, 64 large cluster 8 passive rare, 3 forbidden shako, 8 mod t16, kill kitava, 5 abyss jewel es regen per sec, massive thread of hope, 90 quant feared, forbidden taste, 5 lethal pride, 5 glorious vanity, snakepit, 20 maps main skill tagged aoe, mirror shard, 2 devoto's devotion, 10 Earth Drinker, 3 same aura watcher's
triple nonnegative leadership's price, 10 Instilling Orb, 20 maps main skill tagged retaliation, 11 The One With All, 4.5 hour a10 like leaguestart, 20 maps with mine main skill, 2 kalandra's touch, piece of the arcane, Full stack The Scarred Meadow, plus 4 hands of the high templar, 20 craicic squid, 1 each rare cluster jewel size, kill kitava, 50 noxious catalyst, 200 tainted whetstone, rathpith globe, vulconus, Full stack The Gemcutter, mother's embrace, Full stack The Visionary, doppelganger guise, 600 delve, 10 Broken Truce, 4 hour a10 any templar, 11 Gift of the Gemling Queen
5x t3+ item, 50 tainted mythic orb, Fenumus First of the Night, defiance of destiny double corrupted, 1 each rare cluster jewel size, 5 exceptional eldritch ichor, 4 ghost 80 deli phoenix, additional room revealed relic, 250 quant t17 80 deli unique bosses shrined kill ghorr, 10 deception contract, prismweave, 100 rare rings, kill kitava, forbidden flesh, impossible escape, 1 each tincture, the ivory tower, piece of storms, 5 carto scarab of risk unid t17 full map effect atlas, 20 maps main skill tagged arcane, 20 Gemcutter's Prism, 20 maps main skill tagged bow, 10 aberrant fossil, 5 militant faith, 20 omen of blanching
hyrri's ire, piece of brutality, every talisman anointed, 20 maps main skill tagged retaliation, Full stack The Adventuring Spirit, plus 4 hands of the high templar, 50 tainted mythic orb, 1 of each temple resistance, 13 The Watcher, 100 atlas completion, willclash, 333 quant t17, kill kitava, 20 priceless contract, 250 quant t17 80 deli unique bosses shrined kill ghorr, 20 tainted chrome, Full stack More is Never Enough, death and taxes, 20 maps main skill tagged chaining, 1 each fossil, 20 essence enslaver, 11 The Puzzle, inspired learning, Father's Love, forbidden flame
4 ghost 80 deli chimera, 20 maps main skill tagged chaining, 10 corrupted 6 links, 10 gearsets of chaos recipe, dissolution of the flesh, every attribute amulet anointed, eye of malice, synth stat stack mod, bloodnotch, sandstorm visage, Full stack Rats, 10 facetor's lens, kill kitava, 20 Saqawine Retch, stormshroud, 250 quant t17 100 deli possessed kosis, 10 heist bases any, pilfering scarab 1000 cards one boss, oskarm, 1 flawless chayula, 20 maps main skill tagged orb, 5 transfigured gems that start with C, whakawairua tuahu, Full stack Dark Temptation, 5 Farric Pit Hound
bottled faith, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, 20 ancient orbs, double corrupted headhunter, 3 gold oils, 4 ghost 80 deli phoenix, 33 Rain Tempter, bloodnotch, 20 maps main skill tagged projectile, 20 essence purifier, 5 black sun crest, 2 curse impresence or soul ascension or eternity shroud, kill kitava, 5 Singular Scouting Report, vulconus, soul tether, the poised prism, 10 deft fossil, 4 unique relics, 20 maps main skill tagged vaal, 10 perception contract, piece of the arcane, march of the legion, 10 simulacrum, one every curse on hit ring
10 The Messenger, afk blight ravaged no towers or button pressing, 1 hysteria essence, 200 yellow beasts, 5 elegant hubris, ashes of the stars, 85 quant t16 5 scarabs, Full stack The Rabid Rhoa, 300+ depth aul 2 phys as mods, Comprehensive Scouting Report, 250 quant t17 80 deli unique bosses shrined kill k'tash, 10 deception contract, kill kitava, 3 stat ventor's gamble, 10 craicic vassal, 40 Orb of Scouring, 83 lycia, kill kitava with elementalist, plus 4 hands of the high templar, omen of connections, 30 alva temples, dead reckoning, 2 synth i86 spine bows, 20 maps main skill tagged orb, mark of submission
oriath's end, Full stack The Tireless Extractor, 10 craicic vassal, Black Morrigan, 5 every transfigured colour, 200 delve, 20 maps 50k armour, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, andvarius, doppelganger guise, 90 quant feared, hyrri's ire, kill kitava, 200 tainted armourer's, 100 bindings, 100 distinct uniques, 20 corrupted fossil, anathema, 13 The Gambler, The Astromancer, 20 medium cluster 4 or 5 passive rare, 250 quant t17 80 deli unique bosses shrined kill beidat, 20 maps 2h attack main skill, 400 Chromatic Orb, piece of the arcane
void valdo, paradoxica, 250 quant t17 80 deli unique bosses shrined kill ghorr, svalinn, 20 medium cluster 4 or 5 passive rare, 3 large cluster jewel 3 notable, 20 maps cast on crit main skill, 20 maps main skill tagged prismatic, bloodnotch, 50 Lesser Eldritch Ichor, ghostwrithe, minions are aggressive delve rare, kill kitava, 100 wings, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, 1 each relic base type, 200 astragali, 13 The Calling, 10 fenumal scorpion, 11 The Feast, 1 every corpse any perfection, cherrubim's maleficence, obscurantis, oriath's end, emperor's majesty
first letter of 3 notable cluster spells word in pob order, defiance of destiny double corrupted, 4 sac frag rare 5+ mod indigo+ 9 anoint blight ravaged, 4 hour a10 any ranger, Black Morrigan, doppelganger guise, kill kitava with berserker, 10 perception contract, 5 militant faith, 16 Hubris, 3 large cluster jewel 3 notable, 20 essence enslaver, kill kitava, Full stack The Wretched, 1 any blueprint exclusive non replica unique, 10 Vaal Scouting Report, dendrobate, 100 delirium orbs, 5 flawless breachstone, the ivory tower, dissolution of the flesh, 4 witchhunter's judgement, i83 omnitect at most 2 items equipped, Full stack Struck by Lightning, kill kitava with scion
bottled faith, void valdo, i83 catarina stand in green degen squares when they become available until end of fight, wanderlust, Full stack Loyalty, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, the taming, sunblast, doppelganger guise, 100 abyss jewels, double anointed amulet each anoint at least one gold, 11 Hope, kill kitava, Full stack The Catalyst, singularity, 20 Farric Ape, 200 tainted whetstone, 10 Broken Truce, 2 curse impresence or soul ascension or eternity shroud, Farrul First of the Plains, The Fiend, maven witness uber elder, 20 maps main skill tagged critical, 12 pragmatism, 3 full set veiled items
queen of the forest, voideye, 10 influenced non eldritch shields, t16 rare monster with 8 essence 4 ghost 80 deli, tainted divine teardrop, 1 any blueprint exclusive non replica unique, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 20 Farric Ursa, 7 ubers, piece of brutality, 10 Craicic Sand Spitter, ashes of the stars, kill kitava, kill kitava with occultist, Full stack The Visionary, 20 Farric Flame Hellion Alpha, rathpith globe, spell damage or crit multi corrupt divinarius, 5 tangled fossil, 64 large cluster 8 passive rare, 20 maps with perma minions main skill, 12 large cluster 12 passive rare, the writhing jar, Fenumus First of the Night, forbidden flame
every talisman anointed, piece of storms, The Greatest Intentions, orb of dominance, 20 maps main skill tagged retaliation, double corrupted shaper's touch, 4 grasping mail, 100 total cluster jewel notables, massive thread of hope, 20 maps main skill tagged arcane, 4 ghost 80 deli minotaur, 100 Orb of Chance, kill kitava, Full stack The Jeweller's Boon, 2 curse impresence or soul ascension or eternity shroud, delve max number of minion mod, the fourth vow, Black Morrigan, 20 essence constrictor, 13 The Jeweller's Boon, 9 same corrupted essence, 250 quant t17 unique boss shrined and 4 ghosts, dawnbreaker, Full stack Acclimatisation, 10 The Insatiable
50 embers, 100 The King's Blade, 10k of each harvest juice, corrupted bino's no spell damage or ele damage, 100 abyss jewels, 200 astragali, the hateful accuser, triple wisp t17 boss, torchoak step, 20 maps main skill tagged prismatic, 20 maps main skill tagged herald, divination distillate, kill kitava, 20 Fenumal Queen, non massive thread of hope, 83 lycia, Full stack Imperial Legacy, forbidden flesh, the tides of time, the dancing dervish, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 25 The Army of Blood, 10 6 mod abyss jewels, 5 transfigured gems that start with D, 250 quant t17 80 deli unique bosses shrined kill ghorr
1 each relic base type, 20 Farric Goliath, 50 replica uniques, 10 gearsets of chaos recipe, 40 chisels, 10 6 mod abyss jewels, piece of the arcane, mark of the shaper and mark of the elder, 20 maps main skill tagged bow, 40 abyss incubator, winterweave, 20 maps 1000 int, kill kitava, 27 deafening fear, Delirious Scouting Report, 3 gold oils, first letter of 3 notable cluster spells word in pob order, 40 Orb of Scouring, 1 horror essence, clear hall of the grandmasters, 250 quant t17 80 deli unique bosses shrined kill beidat, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, the utmost, headhunter, legacy of fury
the writhing jar, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, level 97, immutable force, the three dragons, 5 lethal pride, 200 yellow beasts, 20 maps main skill tagged slam, widowhail, 16 Hubris, echoes of creation, 18 The Inoculated, kill kitava, 50 tainted mythic orb, 50 quant feared with all release, 20 maps main skill tagged projectile, plus 4 hands of the high templar, soulthirst, delve curse on hit ring, plus 7 gloves, 90 quant feared, every talisman anointed, blackheart, bloodnotch, 64 large cluster 8 passive rare
kill kitava with guardian, 100x onyx amulet, Delirious Scouting Report, 20 geomancer's incubator, 20 Farric Ape, echoes of creation, unnatural instinct, 11 The Fox, 5 esh breachstone, Fenumus First of the Night, Full stack The Opulent, purity of fire sublime, kill kitava, al dhih, 20 essence enslaver, 3 rares same name, 20 maps main skill tagged aoe, Full stack The Blazing Fire, 20 craicic squid, 10 simulacrum, make a harbinger unique, 4 hour a10 any witch, 10 heist bases any, massive thread of hope, afk blight ravaged no towers or button pressing
50 quant feared with all release, 50 replica uniques, dying breath, omen of fortune, 3 gold oils, 5 tangled fossil, 5 temple mod rare chests, kill saqawal only wearing saqawal uniques, sin trek, emperor's majesty, 1 each relic base type, 40 Orb of Scouring, kill kitava, 10 6 mod abyss jewels, 30 alva temples, 1 of each temple resistance, build around a unique, ashes of the stars, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, 20 Fenumal Queen, 20 maps with mine main skill, 64 large cluster 8 passive rare, i85 wyvernscale gauntlets boots haunted bascinet, non catarina syndicate unique, Full stack The Sun
20 maps with temp minions main skill, 5 militant faith, 250 quant t17 80 deli unique bosses shrined kill uul netol, perquil's toe, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 10 counter thaumatergy contract, kitava's thirst, 4 orb of conflict, every delirium unique jewel, 20 maps main skill tagged movement or travel or blink, 2 the wasp nest, 50 noxious catalyst, kill kitava, 3 rares same name, 6 rings 2 each min charge unveiled, 13 The Wolf's Shadow, dissolution of the flesh, 100 distinct uniques, 333 quant t17, 1 any blueprint exclusive non replica unique, 2 kalandra's touch, 3 forbidden shako, 11 The Fletcher, Orb of Annulment, aegis aurora
dawnbreaker, Full stack The Sigil, 20 reflective oils, Full stack The Penitent, impossible escape, Full stack The Dragon, tainted chaos orb, 10 jewels unique with implicit or rare with implicit and life explicit, kill kitava with saboteur, 200 tainted armourer's, 50 Lesser Eldritch Ichor, dissolution of the flesh, kill kitava, 20 essence constrictor, 3 stat ventor's gamble, 50 tainted mythic orb, 20 Farric Goatman, 5 brutal restraint, 10 simulacrum, the magnate, fully unlock and equip relic altar, 4 hour a10 any templar, 7 ubers, 5 transfigured gems that start with D, 20 maps with trap main skill
kill kitava with inquisitor, 20 maps 7000 mana, pilfering scarab 1000 cards one boss, Full stack The Mountain, 50 regal orb, 20 small cluster jewel rare, ashes of the stars, le heup of all, every attribute amulet anointed, piece of focus, 5 militant faith, double reservation anointed rare amulet, kill kitava, necrotic 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 int or dex inc attributes prefixes 90% divine suffixes perfect divine implicits 1% less damage take per 180 corresponding attribute 15% aura effect, Full stack Sambodhi's Vow, 4 witchhunter's judgement, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger, 13 Acclimatisation, plus 4 hands of the high templar, 40 regrets, 100 delirium orbs, 250 quant t17 unique boss shrined and 4 ghosts, each delve ring, immutable force, 12 large cluster 12 passive rare
anathema, 5 glorious vanity, Operative's Scouting Report, 20 maps with attack main skill, 30 primitive resonator, Father's Love, 11 The Archmage's Right Hand, piece of focus, kill craiccean only wearing craiceann uniques, haemophilia, t16 rare monster with 8 essence 4 ghost 80 deli, wondertrap, kill kitava, 3 large cluster jewel 3 notable, 200 tainted whetstone, 20 prismatic catalyst, the anvil, the tides of time, 20 maps 85 max res, 100 abyss jewels, 250 quant t17 80 deli unique bosses shrined kill k'tash, Craiceann First of the Deep, forbidden flame, death rush, wanderlust
cloak of flame, 13 Acclimatisation, sandstorm visage, 20 maps main skill tagged arcane, Comprehensive Scouting Report, 13 The Fool, 200 astragali, 1 fracturing orbs, triple wisp t17 boss, 5 militant faith, Saqawal First of the Sky, 20 turbulent catalyst, kill kitava, ghost feared valdo, elemental penetration support, 4 orb of conflict, svalinn, sadima's touch, 5 elegant hubris, double corrupted bloodseeker, inspired learning, 20 reflective oils, Full stack Doedre's Madness, 20 maps main skill tagged duration, kill fenumus only wearing fenumus uniques
20 maps main skill tagged duration, intuitive leap, 3 forbidden shako, 200 tainted whetstone, 5 every transfigured colour, 7 ubers, stormcharger, perquil's toe, balance of terror, echoes of creation, 10 scorched fossil, 1 uber, kill kitava, 10 megalomaniac, 28 Glimmer of Hope, rakiata's dance double corrupted, 20 maps main skill tagged bow, 10 6 mod abyss jewels, deerstalker, 2 curse impresence or soul ascension or eternity shroud, Full stack More is Never Enough, 250 quant t17 80 deli unique bosses shrined kill tul, 200 astragali, 4.5 hour a10 like leaguestart, 33 Rain Tempter
massive thread of hope, each unique heist contract, 5 black sun crest, 5 unique maps, shadowstitch, doppelganger guise, piece of directions, 10 deception contract, 40 jewels with inc or flat life, 10 perception contract, i83 omnitect at most 2 items equipped, kaom's roots, kill kitava, 10 The Price of Protection, 5 lethal pride, palindrome timeless jewel, 100% deli 10 mod t16 less than 50 remain and map complete, berek's pass, tainted chaos orb, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, 20 maps with dot main skill, every talisman anointed, 20 maps bleed or poison main skill, kingmaker aoe corrupt, 20 Saqawine Retch
pilfering scarab 1000 cards one boss, 12 large cluster 12 passive rare, forbidden flame, 5 audience with the king, dissolution of the flesh, bones of ullr, 250 quant t17 80 deli unique bosses shrined kill beidat, 10 6 mod abyss jewels, 20 tainted chrome, alpha's howl, 20 maps main skill tagged prismatic, shadowstitch, kill kitava, dead reckoning, 10 simulacrum, 5 lethal pride, 10 Dialla's Subjugation, forbidden taste, 300+ depth aul 2 phys as mods, ailment faster delve rare, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, 100 Orb of Fusing, 5 temple mod rare ring, blackheart, House of Mirrors
Farrul First of the Plains, 4 ghost 80 deli hydra, 250 quant t17 80 deli unique bosses shrined kill xoph, plus 5 x gems staff t1 increased x damage or spell damage prefix suffixes 3 t1 of x damage or spell crit or global crit multi or global dot multi or x dot multi corrupted with inc area inc cast speed or power on crit chance, mark of the shaper and mark of the elder, 10 gearsets of chaos recipe, 20 essence eradicator, painseeker, 50 tainted mythic orb, 40 unmakings, 3 forbidden shako, 7 hour act 10 new char, kill kitava, 11 The Scavenger, additional merchant choice relic, sap of the seasons, 20 maps main skill tagged nova, 24 20+/20+ corrupted gems, the squire, minions are aggressive delve rare, build around a unique, make a harbinger unique, 11 Hope, dyadian dawn, 4 orb of conflict
28 Dark Temptation, piece of brutality, 4 grasping mail, 20 maps main skill tagged herald, 10 forbidden tome, 20 maps main skill tagged vaal, 4 hour a10 any duelist, 600 delve, echoes of creation, 1 3 mod watcher's eye, 5 transfigured gems that start with C, 10 counter thaumatergy contract, kill kitava, 13 The Lich, Full stack Three Faces in the Dark, dissolution of the flesh, firesong, Full stack The Watcher, 200 tainted armourer's, 3 rares same name, elemental penetration support, fury valve, 250 quant t17 100 deli possessed omniphobia, The Astromancer, 10 The Fortunate
dissolution of the flesh, 20 Farric Ape, 10 craicic vassal, 20 maps 100 suppression, 250 quant t17 80 deli unique bosses shrined kill k'tash, delve curse on hit ring, dawnbreaker, 20 aetheric fossil, 20 maps 1000 dex, kill saqawal only wearing saqawal uniques, double corrupted bloodseeker, wanderlust, kill kitava, 27 deafening fear, 57 More is Never Enough, bottled faith, 64 large cluster 8 passive rare, Full stack Jack in the Box, tainted exalted orb, 4 orb of conflict, kill craiccean only wearing craiceann uniques, 11 Coveted Possession, brutus' lead sprinkler, kingmaker, al dhih
incandescent heart, kingmaker, 5 upgraded breach unique, the utmost, 20 maps main skill tagged vaal, 250 quant t17 80 deli unique bosses shrined kill xoph, 200 delve, 5 transfigured gems that start with A, doppelganger guise, 100 engineering orbs, Craiceann First of the Deep, non corrupted unique jewel, kill kitava, kill kitava with assassin, fractured delve mod, 10 deception contract, 20 Explorer's Scouting Report, Full stack The Inventor, forbidden flame, 250 quant t17 80 deli unique bosses shrined kill esh, 18 deafening anguish, 100 abyss jewels, death and taxes, 8 mod t17, intuitive leap
torchoak step, 11 The Coming Storm, mark of the shaper and mark of the elder, dying sun, 7 ubers, plus 2 power charge helmet, shavronne's wrappings, aurseize, 13 The Rabid Rhoa, 1 fracturing orbs, forbidden flesh, 250 quant t17 80 deli unique bosses shrined kill tul, kill kitava, 20 maps 10k energy shield, 30 alva temples, 20 maps 100 suppression, 13 The Valkyrie, 5 every transfigured colour, 50 Lesser Eldritch Ember, 200 tainted whetstone, Full stack Glimmer of Hope, 5 transfigured gems that start with A, 20 medium cluster 4 or 5 passive rare, 250 quant t17 80 deli unique bosses shrined kill chayula, 5x t3+ item
20 maps with attack main skill, kill fenumus only wearing fenumus uniques, 10 corrupted 6 links, tainted pact, 20 priceless contract, 4 unique relics, massive thread of hope, briskwrap, Full stack Loyalty, the light of meaning, dying sun, 20 small cluster jewel rare, kill kitava, 11 Coveted Possession, 20 reflective oils, 250 quant t17 80 deli unique bosses shrined kill tul, delve curse on hit ring, 20 maps 50k evasion, 20 Farric Gargantuan, Ambitious Obsession, Full stack The Chains that Bind, agnerod staff, cloak of flame, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 11 The Wolf's Legacy
20 maps main skill tagged arcane, 27 deafening fear, i85 wyvernscale gauntlets boots haunted bascinet, 20 maps main skill tagged movement or travel or blink, sandstorm visage, 20 Farric Ursa, 50 noxious catalyst, chaos orb an item, 30 alva temples, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, pillar of the caged god, the light of meaning, kill kitava, 11 Emperor of Purity, ryslatha's coil, 28 Glimmer of Hope, lab unique, 4 orb of conflict, corrupted bino's no spell damage or ele damage, 90 quant feared, haemophilia, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, rare items from each warband, 20 Saqawine Blood Viper, rakiata's dance
lavianga's spirit, Black Morrigan, 20 maps with attack main skill, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, 1 uber, 20 whispering incubator, kill kitava with assassin, 20 Gemcutter's Prism, 50 The Hermit, lochtonial caress, 3x t1 ele or 3x t1 phys axe 6 link t1 attack speed t1 crit chance double damage chance corrupted with fortify and inspiration, 13 The Twins contract, kill kitava, 20 Saqawine Retch, 10 craicic vassal, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, 20 life 30 rarity 5 rmr +60 total resistance ventor's, 4 ghost 80 deli minotaur, sandstorm visage, kintsugi, 10 megalomaniac, dawnbreaker, 1 each relic base type, 3 forbidden shako, 10 split personality
the squire, 20 medium cluster 4 or 5 passive rare, Full stack The Demoness, 3 the oppressor, 1 flawless xoph, 20 maps with triggered main skill, 11 The One With All, 10 split personality, 500 fusings, 4 orb of conflict, 20 essence constrictor, 50 tainted mythic orb, kill kitava, mao kun, minions are aggressive delve rare, ghost feared valdo, Fenumus First of the Night, Full stack Rain Tempter, sandstorm visage, marohi erqi, void valdo, kill kitava with inquisitor, 10 deception contract, double corrupted headhunter, Full stack Thunderous Skies
20 maps with lightning main skill, Full stack The Wolf's Shadow, 20 whispering incubator, 20 maps cast on crit main skill, 20 medium cluster 4 or 5 passive rare, 33 Prosperity, 20 essence eradicator, 10 serrated fossil, the iron fortress, echoes of creation, widowhail, 200 tainted whetstone, kill kitava, 20 Farric Ursa, 10 fenumal scorpion, hallowed ground, Full stack Her Mask, 10 split personality, delve max number of minion mod, dissolution of the flesh, 333 quant t17, 250 quant t17 80 deli unique bosses shrined kill tul, replica unique, non catarina syndicate unique, matching forbidden jewels
9 deafening contempt, 333 quant t17, 20 maps with triggered main skill, march of the legion, balance of terror, 1 Craicic Chimeral, dissolution of the flesh, 20 maps with phys main skill, 10 corrupted 6 links, synth explode weapon, 5 every transfigured colour, 20 Saqawine Retch, kill kitava, 10 heist bases any, 2 kalisa's grace, 30 alva temples, massive thread of hope, 4 ghost 80 deli chimera, eyes of the greatwolf, 10k of each harvest juice, Full stack Vinia's Token, 13 Left to Fate, 1000 Scroll of Wisdom, Full stack The Visionary, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced
victario's influence, 250 quant t17 80 deli unique bosses shrined kill k'tash, 10 counter thaumatergy contract, 11 The Forsaken, Full stack Emperor's Luck, 4 law of the wilds, plus 2 frenzy rare gloves, ming's heart, 5 transfigured gems that start with F, kill kitava with occultist, 20 small cluster jewel rare, 33 Imperial Legacy, kill kitava, Full stack The Visionary, kill kitava with berserker, the tides of time, 20 ancient orbs, thousand ribbons, 200 tainted whetstone, ashes of the stars, 12 pragmatism, triple wisp t17 boss, 3 passive voices, might of the meek, 4 hour a10 any templar
4 hour a10 any ranger, tainted chaos orb, 100 rare rings, ralakesh , Full stack The Wrath, 4 hour a10 any witch, 250 quant t17 80 deli unique bosses shrined kill xoph, 4 orb of conflict, kill kitava with warden, 2 curse impresence or soul ascension or eternity shroud, 100 total cluster jewel notables, every delirium unique jewel, kill kitava, Black Morrigan, 10 facetor's lens, make a harbinger unique, unlock all rogues, Comprehensive Scouting Report, nebuloch, 17 Volatile Power, 20 maps with triggered main skill, 3 gold oils, 28 Thunderous Skies, Unrequited Love, harbinger scroll
4 orb of conflict, 1 fracturing orbs, tinkerskin, 4 hour a10 any witch, cloak of flame, 20 maps spellslinger main skill, 25 The Adventuring Spirit, impossible escape, 10 6 mod abyss jewels, 4 hour a10 any duelist, 20 priceless contract, 20 maps main skill tagged duration, kill kitava, 13 The Master Artisan, deerstalker, blackheart, the brass dome, upgrade a harbinger unique, 64 large cluster 8 passive rare, 250 quant t17 80 deli unique bosses shrined kill k'tash, 1000 Orb of Augmentation, 1000 Portal Scroll, piece of time, 5 Farric Pit Hound, 3 same aura watcher's
1 each rare cluster jewel size, ashes of the stars, 20 maps main skill tagged strike, 5 transfigured gems that start with A, 30 alva temples, t16 rare monster with 8 essence 4 ghost 80 deli, Full stack The Scarred Meadow, Exalted Orb, triple wisp t17 boss, 40 unmakings, 50k rogue markers, The One That Got Away, kill kitava, 200 astragali, 64 large cluster 8 passive rare, double anointed amulet each anoint at least one gold, bottled faith, 13 The Mountain, anathema, 1000 sepia oil, forbidden flame, 20 maps main skill tagged critical, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, hyaon's fury, legacy of fury
echoes of creation, 30 rare with essence mod, kill kitava with warden, Full stack The Inventor, additional room revealed relic, 90 quant feared, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, 20 offering to the goddess, oriath's end, every talisman anointed, kill fenumus only wearing fenumus uniques, The Greatest Intentions, kill kitava, 20 maps 50k armour, 12 large cluster 12 passive rare, stormcharger, 20 rares t1 chaos res, 10 split personality, lab unique, witchfire brew, 4 grasping mail, 13 The Surgeon, 20 Explorer's Scouting Report, 200 tainted whetstone, lab unique
200 yellow beasts, Full stack The Adventuring Spirit, forbidden flame, bottled faith, 250 quant t17 80 deli unique bosses shrined kill tul, original sin relic, heatshiver, 20 maps main skill tagged vaal, 4 ghost 80 deli chimera, 10 Enkindling Orb, the whispering ice, 100 delirium orbs, kill kitava, 4 orb of conflict, 20 reflective oils, 10 tailoring orbs, 24 20+/20+ corrupted gems, crown of eyes, every signature veil item, 100 total cluster jewel notables, 20 maps main skill tagged strike, taste of hate, 11 The Dapper Prodigy, Exalted Orb, 200 rolled currency t17 lt 50 remain
20 maps 10k energy shield, 9 same corrupted essence, Full stack The Watcher, 20 tainted chrome, mark of the shaper and mark of the elder, carnage heart, 20 reflective oils, mirror shard, 333 quant t17, 4.5 hour a10 any marauder, divine orb, 28 The Demoness, kill kitava, 250 quant t17 unique boss shrined and 4 ghosts, 5 Farric Taurus, 3 gold oils, 1 of each temple resistance, the iron fortress, purity of fire sublime, kill kitava with necromancer, 1 each relic base type, 10 6 mod abyss jewels, Full stack The Catalyst, 50 replica uniques, 13 The Rabid Rhoa
10 opulent fossil, 10k of each harvest juice, 83 lycia, 20 maps main skill tagged aoe, oriath's end, rumi's concoction, the taming, pilfering scarab 1000 cards one boss, ashes of the stars, 10 megalomaniac, 20 medium cluster 4 or 5 passive rare, cold iron point, kill kitava, additional merchant choice relic, 20 maps main skill tagged link, 13 Boundless Realms, void valdo, 10 deception contract, painseeker, death and taxes, 3 same aura watcher's, shavronne's revelation, 11 The Coming Storm, 40 primal incubator, 250 quant t17 80 deli unique bosses shrined kill beidat
7 ubers, 4 orb of conflict, forbidden flesh, kill kitava with pathfinder, tasalio's sign, Full stack Prosperity, maven witness uber elder, 20 maps main skill tagged nova, 1 flawless uul netol, the fourth vow, 100 wings, 20 Farric Ape, kill kitava, turn in cards for a t0, victario's influence, 250 quant t17 all exile nodes all torment nodes scarabs: possession giants partnership double anarachy 0 monsters remain, 20 Saqawine Retch, 20 glyphic fossil, 10 tailoring orbs, 40 primal incubator, 100 engineering orbs, queen of the forest, 5 temple mod rare gloves, The Price of Loyalty, Full stack The Web
carnage heart, astramentis, kill craiccean only wearing craiceann uniques, forbidden flame, synth explode weapon, 18 Time-Lost Relic, 6 rings 2 each min charge unveiled, 50 Lesser Eldritch Ichor, kill kitava with occultist, Craiceann First of the Deep, the ivory tower, 100 engineering orbs, kill kitava, 50 noxious catalyst, every non trialmaster ultimatum unique, 20 maps main skill tagged bow, 10 deception contract, Full stack Destined to Crumble, 300 quant t17 full spec ultimatum completed, 50 quant feared with all release, 20 Gemcutter's Prism, acton's nightmare, fractured delve mod, 5 lethal pride, dissolution of the flesh
4 unique relics, 1 sanctified fossil, echoes of creation, 100 Armourer's Scrap, le heup of all, additional merchant choice relic, 10 craicic vassal, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, pilfering scarab 1000 cards one boss, 20 maps main skill tagged curse, 20 maps with mine main skill, 50k rogue markers, kill kitava, double corrupted lioneye's glare, 50 replica uniques, 30 alva temples, sap of the seasons, 20 Farric Ape, ancestral vision, Farrul First of the Plains, Full stack Cartographer's Delight, 300+ depth aul 2 phys as mods, 18 The Inventor, ailment faster delve rare, kaom's roots
